,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-11-16,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,697.1,711.0,697.0,706.0,133,93856.8,697.1,1566.0,688.2,2022-11-16T14:58:14.392091,706.0,13,705.69,2592.03
1,,2022-11-16,397,ADBL,Agricultural Development Bank Limited,317.0,317.0,314.0,314.5,13463,4234374.8,315.0,518.0,298.0,2022-11-16T14:59:51.544108,314.5,129,314.51,41476.0
2,,2022-11-16,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,269.6,272.0,265.4,269.8,22797,6141944.0,264.4,628.3,251.4,2022-11-16T14:59:35.540692,269.8,108,269.41,4666.45
3,,2022-11-16,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,171.0,174.0,169.0,174.0,18825,3227252.7,169.0,365.0,161.0,2022-11-16T14:59:49.696016,174.0,107,171.43,1392.0
4,,2022-11-16,2757,AKPL,Arun Kabeli Power Ltd.,352.0,353.0,345.0,349.0,24371,8490680.6,346.9,654.0,342.0,2022-11-16T14:59:41.859037,349.0,144,348.39,7122.15
5,,2022-11-16,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,876.1,900.0,876.1,896.5,346,308434.0,885.2,1750.0,874.3,2022-11-16T14:59:41.221169,896.5,19,891.42,2993.54
6,,2022-11-16,385,ALICL,Asian Life Insurance Co. Limited,481.3,500.7,462.6,479.0,4565,2180039.1,471.9,1398.0,428.0,2022-11-16T14:58:56.305419,479.0,54,477.55,13929.85
7,,2022-11-16,697,API,Api Power Company Ltd.,211.0,215.0,211.0,213.0,32120,6867895.9,211.0,575.0,200.0,2022-11-16T14:59:57.1148,213.0,191,213.81,8189.67
8,,2022-11-16,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,720.0,725.0,709.1,713.0,2109,1511575.7,713.2,963.0,316.0,2022-11-16T14:59:27.568706,713.0,137,716.72,1782.5
9,,2022-11-16,686,BARUN,Barun Hydropower Co. Ltd.,214.0,217.9,209.8,210.0,1585,335169.0,210.0,595.0,201.0,2022-11-16T14:53:57.991568,210.0,26,211.46,1125.21
10,,2022-11-16,156,BBC,Bishal Bazar Company Limited,3278.1,3278.1,3250.0,3250.0,270,879445.0,3345.0,5763.0,3137.0,2022-11-16T14:35:19.410226,3250.0,9,3257.2,1597.05
11,,2022-11-16,227,BFC,Best Finance Company Ltd.,314.0,319.9,307.0,316.5,4116,1299981.3,311.0,580.0,298.0,2022-11-16T14:53:35.093883,316.5,41,315.83,2623.51
12,,2022-11-16,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,316.8,337.6,316.8,330.0,4547,1487349.2,320.0,520.0,310.0,2022-11-16T14:57:01.608242,330.0,78,327.1,3300.0
13,,2022-11-16,8055,BHL,Balephi Hydropower Limited,248.8,250.0,236.3,239.2,4460,1086289.0,244.0,397.0,104.7,2022-11-16T14:57:03.87607,239.2,72,243.56,4372.5
14,,2022-11-16,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,360.7,367.0,348.0,357.9,3061,1083379.0,368.0,744.0,246.7,2022-11-16T14:59:34.851635,357.9,31,353.92,1431.6
